REPO NAME,FILE NAME,DEFAULT NAMESPACE,HTTP WITHOUT TLS,MISSING SECURITY CONTEXT,PRIVILEGE ESCALATION,USPECIFIED PRIVILEGE ESCALATION,ROOT PRIVILEGE,NO ROLLING UPDATE,USERNAME,PASSWORD,KEY,SECURE FLAG
stackgres,.gitlab-ci.yml,0,0,0,0,0,0,0,0,0,0,False
stackgres,check-release.yml,0,0,0,0,0,0,0,0,0,0,False
stackgres,test.yml,0,0,0,0,0,0,0,0,0,0,False
stackgres,deploy.yml,0,0,0,0,0,0,0,0,0,0,False
stackgres,image-build.yml,0,0,0,0,0,0,0,0,0,0,False
stackgres,build.yml,0,0,0,0,0,0,0,0,0,0,False
stackgres,native-build.yml,0,0,0,0,0,0,0,0,0,0,False
stackgres,Chart.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,values.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,sgcluster.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,sgbackupconfig.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,sgdistributedlogs.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,sgpostgresconfig.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,sgpoolingconfig.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,sginstanceprofiles.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,Chart.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,values.yaml,0,0,0,0,0,0,0,2,1,0,True
stackgres,SGCluster.yaml,0,0,0,0,0,0,0,0,0,2,True
stackgres,SGBackupConfig.yaml,0,2,0,0,0,0,0,0,0,7,True
stackgres,SGDistributedLogs.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,SGBackup.yaml,0,2,0,0,0,0,0,0,0,7,True
stackgres,SGPostgresConfig.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,SGPoolingConfig.yaml,0,0,0,0,0,0,0,0,0,0,False
stackgres,SGInstanceProfile.yaml,0,0,0,0,0,0,0,0,0,0,False
